daily,dynamic_path_appkey,dynamic_path_page_name,dynamic_path,unique_event_count,total_event_count,page_name
2022-09-29,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/0aeEOBaTQkaYgc95gnltTA/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-28,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/TPJmENqpQkCA2OsO93E08w/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-28,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/GnaANsPiGkaloZoYLUAavA/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-28,2ktEfh72p0GEz3dQ9OkcpQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/oEazmjVCNkK5AYlzoR2usg/customer-data/2ktEfh72p0GEz3dQ9OkcpQ/audience-studio/UezkSaNBMEqs43PC9XfVUw/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-28,2ktEfh72p0GEz3dQ9OkcpQ,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/oEazmjVCNkK5AYlzoR2usg/customer-data/2ktEfh72p0GEz3dQ9OkcpQ/audience-studio/UezkSaNBMEqs43PC9XfVUw/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-09-27,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/TPJmENqpQkCA2OsO93E08w/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-22,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/O8IwZmqjIkKm4CSMYfGtkQ/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-09-22,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/O8IwZmqjIkKm4CSMYfGtkQ/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-22,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/9uMaBWCdskK5hPrSruOycg/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-22,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/Agz8dVf4a0auQQg29DBD4A/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-20,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/AN2WVnql10qnuppIDP82ug/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-20,TXuJbcN9MUq0aIaoMdxoHQ,AppAudienceStudioDetailsInsightsAudienceProfilePage,/5KEzak57oE6bRGtPK5d8WQ/customer-data/TXuJbcN9MUq0aIaoMdxoHQ/audience-studio/chtpNJp4uky1nwMPiXdcsQ/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-20,aa3oaAZPUUKyjmOmPL3JWA,AppAudienceStudioDetailsInsightsAudienceProfilePage,/QHM8ZfrS5kCpg604bZlVbw/customer-data/aa3oaAZPUUKyjmOmPL3JWA/audience-studio/9YYXWwqo1UefDhDY9EffAA/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-19,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/jxBn8NuhWEW9XkOHR8GekQ/insight/audience-profile,4,6,1. 오디언스 프로파일
2022-09-19,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/1obf9oo9BEOoByrbrbR9Sg/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-16,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/Uksj8GLFbE2o1hj0QvSMMw/insight/audience-profile,1,1,1. 오디언스 프로파일
2022-09-16,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsUserMovementPage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/Uksj8GLFbE2o1hj0QvSMMw/insight/user-movement,1,1,2. 유저동선
2022-09-16,FsDsGsZ3AECoi4M29ZWuCg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/WNxrTAMz9U6SGf6DNVbEFQ/customer-data/FsDsGsZ3AECoi4M29ZWuCg/audience-studio/pYgNkfpA9UWUcCc99LMY7g/insight/audience-profile,1,3,1. 오디언스 프로파일
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/H8k2Z9gIMUe63ybYBHEKhg/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/bajZDWIjA0itzDMV8cWepQ/insight/competition-app-compare,2,3,3. 경쟁사 주요 지표 비교
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsUserMovementPage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/YDJZ5McUw0CMBbwEiWNreA/insight/user-movement,1,1,2. 유저동선
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/ITQpiySfnkiUfHNpZCbyHQ/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsUserMovementPage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/5mzXWegO70aZ2C9WcmK30A/insight/user-movement,1,1,2. 유저동선
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsUserMovementPage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/bajZDWIjA0itzDMV8cWepQ/insight/user-movement,2,3,2. 유저동선
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/5mzXWegO70aZ2C9WcmK30A/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsAudienceProfilePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/XZYk7BbcnEC9Ai2wU25c9g/insight/audience-profile,1,2,1. 오디언스 프로파일
2022-09-15,4otkaNsrHEqbLa5baMHTvw,AppAudienceStudioDetailsInsightsCompetitionAppComparePage,/zE25MUBRwUWQkvjzg0aw8Q/customer-data/4otkaNsrHEqbLa5baMHTvw/audience-studio/YDJZ5McUw0CMBbwEiWNreA/insight/competition-app-compare,1,1,3. 경쟁사 주요 지표 비교
2022-09-15,in6nDWil0UyVvQrY629sMg,AppAudienceStudioDetailsInsightsAudienceProfilePage,/RbrOZIdrT0iSWBdroQPd5g/customer-data/in6nDWil0UyVvQrY629sMg/audience-studio/H8k2Z9gIMUe63ybYBHEKhg/insight/audience-profile,2,2,1. 오디언스 프로파일
